pdbid,value
5fnf,3.15
4ahu,2.27
4loi,6.77
5d48,7.52
2rkf,9.08
1fl3,6.8
3uu1,5.2
3b2q,4.55
4oiv,5.08
4rd0,6.62
5j2x,7.74
2w9h,6.37
4re4,6.87
5afv,5.59
2aoe,7.62
3m3x,6.82
5ikb,8.72
3ip8,2.28
4do4,7.29
1qbn,5.85
5bv3,7.17
6mqe,11.29
5c1m,10.8
2f80,8.18
3h5b,10.0
4muv,5.76
5vsj,4.02
2p4y,9.0
5mpn,7.07
6mh7,5.74
2j2u,7.33
3kqr,4.43
1ik4,7.41
1g52,9.54
5std,10.49
5eh5,5.87
1tx7,4.6
6dh2,10.89
5jq5,5.63
2qwb,2.74
6n0k,5.07
5eek,9.1
6pvv,5.85
6ckw,9.08
3l4y,7.0
1h2t,7.89
1ta6,9.13
3rux,9.28
5zdb,5.75
3pd8,6.46
4k6i,6.2
3ip5,6.22
4rd3,6.47
2nsl,4.68
5exl,8.43
5laq,9.2
1dy4,4.36
6ugn,6.12
2uyq,5.68
1zoe,7.4
6qlp,5.28
5wgp,5.62
1flr,10.0
2w47,4.98
3dp9,9.68
4ty6,7.52
6f28,5.67
3d6p,3.75
1hp5,6.55
1ydb,8.24
2hkf,6.38
4djr,11.52
2xn3,5.92
3ery,5.66
3wmc,6.51
1q5k,7.42
5a2i,5.06
2cgr,7.28
1ql7,5.0
4ozj,5.4
6qr0,6.92
2nta,4.8
6g2c,4.66
1enu,5.08
2qd7,9.1
6pg8,3.85
4ddm,2.46
6p84,4.81
1td7,4.37
2pu2,4.43
5oa2,5.01
3p7i,7.7
5i1q,7.92
1stc,8.1
4w9h,6.73
3h8b,6.29
2qpu,3.6
5jgq,4.62
5vl2,8.42
6prf,8.6
4tkb,5.59
2q8h,3.0
2za5,8.43
3ekw,7.96
1uz8,4.96
4dld,5.82
2jds,8.2
3k5v,6.3
2baj,8.4
5f1x,6.11
6h77,7.33
5wbo,4.21
4mdn,6.22
3v2p,6.36
5n1z,8.19
3i9g,8.96
4kx8,7.13
3f7g,7.37
4k0y,7.82
2qd6,8.68
5uv2,4.4
4duh,5.18
6qr4,6.23
1hi4,4.49
1sdv,8.74
3djp,4.2
6oe0,8.92
4fm7,7.24
5k03,4.74
2yk1,8.13
4ksy,8.42
3cj2,4.85
3qto,4.13
2cgf,6.41
4de0,5.89
6i62,6.8
4m14,6.7
1ugx,5.91
1fzj,8.1
3tvc,7.74
4n07,6.46
4a6b,8.38
6epz,7.14
2r59,8.19
6msy,7.0
5m77,7.61
4djo,11.52
3vd9,4.0
5m5d,3.95
4mhz,6.87
3f3e,7.7
6gzm,8.26
4ufj,4.28
3iph,7.6
4z1j,8.11
2ygf,5.09
5v0n,7.17
4dy6,4.4
2v25,5.72
4ew3,6.74
2yfx,8.09
5vyy,6.21
3ljo,6.62
2fzg,3.38
4cp7,8.11
5fnt,6.17
3f8f,6.63
1o5a,6.42
6dj5,8.14
5za8,6.29
1hmr,6.55
1d4i,8.85
4m8x,10.2
6css,7.6
2pow,7.2
6eij,5.77
1ai7,4.09
3ejr,8.57
5ji8,4.63
6r11,4.92
1ew9,3.22
6o0p,9.96
8a3h,4.06
3iof,5.22
4f3c,11.82
6i14,5.82
2cc7,8.01
4k7n,3.48
4do5,5.83
2vt3,4.15
2fxv,5.35
6e4a,7.36
6dgq,5.51
6fsy,6.61
2xg9,4.15
1rbp,6.72
4en4,5.52
3ekt,10.59
1jqy,4.92
3.00E+92,8.0
2rfh,6.82
1qbo,7.74
5yhe,6.69
1m0b,8.82
5owl,5.92
5ldp,4.17
3uzj,5.55
5e1s,7.92
4a4w,7.72
1od8,5.1
1q54,5.85
1qkb,7.35
5sz2,8.7
5kz0,7.66
5kma,4.71
2qw1,3.9
5w1e,5.24
1lf2,7.52
4cj4,3.36
5nxg,8.55
2xei,10.62
5fh7,6.86
4np2,2.26
4ngm,10.35
6k3l,7.22
4av5,7.21
2p7z,6.58
1qkt,9.04
4uma,5.41
4lkq,3.35
1li3,4.25
5z5f,2.17
1bcu,3.28
2wzf,7.0
2ra6,4.52
456c,9.77
4lrr,5.22
4q09,8.17
6rih,3.98
5fho,6.67
6rfw,6.5
5v7a,6.38
5ewa,4.82
1sqo,7.46
1o86,9.57
5ix0,6.28
4qtl,6.92
6u5y,7.16
6dyn,3.19
3upv,5.3
4p3h,6.0
4h75,6.6
6no9,10.52
2vba,4.6
4c1t,7.15
3eqr,8.7
6elo,6.29
3bzf,4.52
2p3c,7.62
5th4,2.85
5eu1,7.81
6pg4,3.59
5cc2,4.1
5nbw,8.59
4ymh,6.46
5jsj,5.4
3cyz,7.22
5yj8,3.98
2avs,7.57
6h38,8.11
5jg1,8.72
1kuk,3.91
966c,7.64
1z1h,8.4
1k21,8.38
3ohi,4.85
2cer,9.22
5vgy,4.18
6stl,8.8
1ohr,8.7
3ioe,3.27
1k1j,7.55
3i4b,8.15
4egk,7.72
4g8m,7.89
2w8y,9.09
3fuc,9.72
4ygf,7.68
1lnm,8.7
4dv8,9.24
1zdp,5.74
3iod,4.1
4ek9,4.42
4pcs,7.85
4ahs,2.19
2ymd,3.16
1gpk,5.37
4gue,5.24
1bxo,10.0
1m48,5.09
4kow,4.31
3ed0,6.35
3l4z,6.72
1olu,4.41
4q8y,2.64
4exs,4.41
4ish,8.72
2fw6,2.92
1d6v,6.17
6q3y,7.27
4yx4,5.97
6s56,5.1
3uz5,7.22
6r1b,5.44
6qr3,6.44
3eax,4.92
3gv9,2.12
1ro6,6.46
2pql,7.28
1b7h,8.02
6iiu,7.96
2w5g,6.07
2zda,8.4
6g9i,3.93
4zvi,6.33
3k8c,2.92
4e4n,9.05
4pin,5.4
4k77,6.63
4u0f,5.92
4afg,8.3
2ptz,7.82
3sxf,8.6
3t70,6.3
4q7w,2.64
4mq6,6.47
3o4k,7.62
1a94,7.85
1v2s,4.17
3s9e,5.13
3fwv,5.64
5ahw,5.17
1p19,4.11
3iue,5.82
2qd8,9.07
3gcs,7.25
6jav,5.76
3ejp,8.55
3f1a,7.21
5n99,4.21
4p6w,9.15
5l2s,7.08
4und,8.96
1apv,9.0
1rjk,10.0
4mre,2.19
1ii5,6.62
3o9a,10.7
2qtt,4.32
2qi4,10.44
5j6l,7.89
6equ,6.38
6h34,9.3
3bxe,5.48
3f7h,7.09
3d1z,8.8
5gsa,7.09
5qal,3.46
5oaj,6.56
6i64,7.31
4u54,2.06
1c5s,6.0
1xh4,7.47
1sr7,10.1
2vwn,8.0
6eyt,5.72
4qf9,4.43
5u4b,5.74
3pn4,6.85
5f2r,4.28
5ta4,7.62
6csq,6.39
3qt6,5.37
4jsz,2.3
5kat,4.1
3v51,8.55
1b51,7.37
1rtf,3.04
1f8b,5.4
2y7x,8.89
4gql,9.59
1pb8,5.15
5g4o,4.43
4gzt,7.77
4xtz,9.82
5ulp,4.61
3pcf,6.05
3cfn,5.0
2bo4,4.61
5ei3,4.25
5hjq,4.72
2vvc,8.52
2ydt,5.52
3ujd,4.69
5nea,10.3
4zo5,9.82
1x8t,7.8
2zfp,5.17
3qqa,5.82
2boh,8.52
3bug,3.18
1y6r,10.11
4e7r,7.7
5d3l,6.06
3uw4,7.77
1kv1,5.94
2hzy,7.39
3hl8,4.49
3n76,6.85
1jaq,4.48
4zw6,5.72
4mmm,3.82
4cwf,4.49
6qr2,5.49
5lz5,6.35
5gja,5.55
4rlu,4.82
4qf7,8.6
3mhi,6.7
3k4d,5.11
6gw4,5.92
3oil,5.68
6qmj,7.36
4w9f,5.49
6i63,7.01
1nvs,7.82
6c7x,7.19
5cu4,6.49
4lyw,6.63
5wa9,6.76
3fvh,6.35
6n7d,9.52
4kfq,8.23
6cks,7.82
2x97,5.66
1cps,6.66
5f25,5.04
1z9y,7.19
4z93,7.35
4q7p,4.32
3cft,4.19
3npc,8.34
4pp0,4.4
5anv,9.3
6aox,4.82
4lxd,7.23
3ppr,2.82
6fnf,7.89
4b76,4.54
3tu7,8.09
2qpq,6.37
3e6y,5.6
3d78,7.64
4kz7,2.49
6gjr,3.74
3sv2,4.19
5oa6,5.51
4or6,5.31
4hym,8.22
5o9q,5.21
4je8,5.21
4xit,7.27
6st0,5.13
3cke,6.1
5cp9,3.51
4pox,5.43
5llo,9.4
3f70,4.85
1o36,5.96
5oh7,4.37
1vso,4.72
6gj8,5.87
1ela,6.36
6pgb,4.6
5f1r,6.0
5ya5,6.72
1fcz,9.22
2vwc,6.62
1gnn,5.68
5a6x,6.69
3sio,8.0
3vhc,8.89
4cmo,9.07
6qgh,8.15
1gyx,2.48
4ddh,3.3
2pov,7.12
4zx1,6.14
2bak,7.43
1q3d,7.82
3rzi,5.33
5szc,4.69
4b9h,5.35
4qmm,6.34
5hey,5.66
4nld,7.7
4zyv,7.66
2lct,5.14
5x8i,8.7
6ax4,8.22
2fai,6.24
6mia,2.6
5fdd,4.2
4o1l,6.7
3ha6,5.68
2w68,4.74
1qku,9.59
1xlx,7.6
2pjb,7.72
5if6,7.23
3pp1,8.49
4alv,8.15
4urm,8.05
2wf3,7.72
5owh,5.92
4gdy,7.08
1g9s,3.61
6cco,7.29
3mke,5.66
3t3e,5.99
1q6m,7.89
5b5b,9.37
2mip,8.46
3hj0,5.71
3r5n,5.78
3fqs,7.39
3m89,6.16
3tnh,6.46
2xlc,2.3
6o7g,5.96
6dtx,8.35
4mti,8.92
3ua8,7.85
6q35,4.82
1aqc,5.34
1p2a,7.92
5afn,4.47
5ndd,6.46
1kak,4.59
3u0p,5.68
4ipf,7.74
5wei,5.7
5t90,6.68
4b8p,6.85
3efw,8.4
4yik,6.89
5vom,6.1
4gne,2.47
5etl,4.64
3vd7,4.48
6ful,4.92
4q1e,8.17
4bcb,8.52
2yac,8.7
5ktu,6.21
4ib5,6.25
5gwz,4.71
5ai0,3.69
5fpi,4.14
6gvh,6.04
1uu7,4.85
5khg,4.69
6pit,5.92
3iok,7.96
6p8x,5.56
4u0d,4.31
1gz3,3.7
5fp0,7.77
6q8b,7.53
3q2h,9.16
5e4w,4.64
2gd8,7.41
6hrx,5.1
6ev0,5.74
3t3i,4.77
3loo,6.07
4xy2,8.1
5zdd,5.75
3l0k,4.62
2fyv,3.52
5n2x,6.06
6ap6,5.37
5kr8,6.82
3udm,4.48
3tpx,9.35
2xvn,3.95
5o83,7.96
2won,6.2
3kze,3.95
3rqw,2.7
3n46,4.3
4cpx,7.77
3gol,7.09
5mt4,3.3
4b4g,6.76
6f3g,7.16
4asy,4.22
4lgg,8.52
6fzp,6.42
1fhr,4.0
4hlf,6.06
1ox9,5.21
5tig,4.22
3dab,6.68
1uk0,8.1
6jn4,5.69
3u1y,8.67
4k76,5.35
5l3f,6.33
3r0i,6.92
2y4m,6.46
4p72,4.09
4j8m,7.32
4dkt,4.8
6pi1,3.8
6akw,7.22
6eji,3.52
6fh7,3.0
2rc9,7.4
1q63,5.85
4xii,6.6
5ets,5.91
4jv7,6.0
4hnf,6.15
6uii,6.43
5o22,8.0
1hgt,6.82
2jle,6.42
5knv,4.87
2o7n,7.82
3ogq,7.52
1jt1,3.4
1o39,7.13
2x6e,7.82
2pj4,7.89
4yjn,7.92
4g9c,8.64
3koo,7.82
4qir,6.95
3ztc,4.56
4m5o,6.42
3ti1,3.89
2itz,8.59
5cr7,3.1
3b1t,5.66
1pum,3.05
4zz1,7.89
1xgj,6.0
5wlg,4.72
6cvd,4.0
3bg8,5.89
5yqn,4.03
5e0g,5.8
4gby,3.46
6d4w,5.25
1qf5,7.37
5cf5,8.6
4alu,7.77
3f38,2.62
3w5t,4.52
3ama,6.53
4dhn,3.89
1zsb,0.6
4jlh,5.4
2exc,6.63
5dxe,6.41
6h5w,10.8
3eqb,1.82
5aag,7.34
3uij,4.7
6g15,5.37
4yux,3.74
3cgf,6.57
4n9b,5.28
1eas,7.74
6ce8,3.41
5zt1,4.67
6i75,4.64
3m53,5.31
4tyl,3.22
5wej,4.82
5brz,8.15
1z6f,4.89
4qok,5.19
1bio,5.54
6fff,7.3
2asu,9.0
6b1h,8.72
2jqk,3.4
3fhr,6.68
5uwf,7.23
6hzv,8.22
5afm,4.15
5-Apr,7.77
3u6w,6.92
1ikv,6.28
2wtj,6.15
3bel,7.85
5km1,6.18
5wfd,4.58
3ocb,8.3
4h3a,6.29
3bjm,8.3
1l5q,3.97
4j26,5.44
1o4m,1.4
5dhf,5.66
5i24,7.42
6em6,4.0
1y2j,7.48
5t2b,8.3
3tam,8.43
1zm7,3.0
5t1a,7.89
3zcz,6.77
2ao6,9.28
5kgx,4.8
5c0k,2.92
5xv7,7.96
5wbq,5.83
4jx7,6.91
4jje,7.64
2krd,2.7
5kxc,5.26
4ps8,9.0
6c1s,8.52
2n8t,3.37
6u80,4.43
3tv6,8.32
5ybi,3.49
3fu6,3.97
4uu7,6.08
6ez9,7.77
3t0t,7.04
5ixq,4.7
6qfe,7.1
2brh,4.64
3kga,7.21
3hu2,7.22
2brc,5.05
2zx9,10.27
4ear,9.82
2jst,2.59
1soj,6.62
4gvc,4.71
6n4t,8.09
6gip,7.38
2gnl,7.24
4axm,7.89
3pkd,6.12
4lkf,5.37
5ofw,2.8
3gpe,5.74
3t3v,8.52
6ps3,9.78
4qna,4.64
4rro,7.59
3sgt,3.82
3rl8,5.98
5w6t,7.57
2zju,5.81
6c3e,7.2
2cni,7.68
3fxz,6.89
6s4u,7.76
6esj,5.68
4d1d,5.74
4hlc,6.76
6gev,8.7
6ee6,6.67
4fak,4.28
2i72,7.43
3jzk,5.91
4zjr,7.54
5wfw,6.1
3bz3,8.82
3psd,8.52
3u3u,6.88
4qvm,6.35
5w5s,7.77
2ow2,8.22
6b7e,4.55
1joc,4.62
1lqe,5.82
5cnj,6.84
4pre,3.74
1kdw,5.54
2bdj,9.35
5ti7,4.96
4xnw,7.74
1yye,8.57
5xvk,5.05
5w0f,7.8
2zir,8.19
5mt0,3.3
2az9,7.66
1efi,1.92
3biz,7.24
1o2p,4.85
5x4q,7.11
3g4g,9.04
3k3i,5.72
4oba,9.4
5aqf,3.78
3jzg,4.4
5gid,6.11
3poa,7.0
3hd3,7.0
1tmm,6.64
4efg,7.26
4cc2,4.33
5j4n,4.25
5n8b,7.37
4ery,7.27
6hvs,5.23
3ggc,5.44
6n93,4.69
1o3c,7.13
4jht,4.99
3v4v,7.38
3o9g,12.3
1ybg,4.8
3ff6,7.15
2vf6,8.52
4c1m,7.8
4pml,4.52
4zsp,5.74
4pci,5.12
4r3b,6.25
5qah,3.84
1pk0,7.57
5nzo,2.24
4w55,4.74
4idv,7.4
5a85,5.3
4kby,6.73
3d1v,3.49
6bgu,6.28
2b54,7.7
4yvc,5.96
2xp3,3.0
1sre,3.85
1w83,7.19
6e4v,6.29
5ox6,7.54
1p06,6.27
3iet,6.85
3pcb,2.4
5o3r,5.0
6u9v,7.4
3lmp,6.21
2vwy,7.05
6bgv,6.74
5al5,7.15
2ow7,4.85
1xmu,9.08
4pnw,5.05
1epp,7.16
1pwp,6.3
2zjv,5.14
1zrz,5.24
5.00E+88,7.19
5a0e,6.53
2uw6,6.55
3gs7,5.44
4mx5,4.55
4pyv,6.7
3hvk,8.52
3efs,5.34
1qpe,7.7
6gu4,4.7
5m29,7.4
4fse,7.4
6jjn,4.11
4x14,2.92
1n1g,2.3
3vbx,4.77
5tg4,3.32
1n0t,4.91
5jnl,6.57
5bwb,5.3
1nu8,5.42
3r93,6.51
5dgj,4.73
5qao,3.62
5f37,5.77
5dpa,4.65
2fhy,5.96
6dvm,8.52
2c8x,6.66
1wbn,6.46
6oag,5.43
2c8y,4.0
1i90,8.89
1iig,1.57
4yuy,3.34
4ajn,7.16
5yqw,7.51
1lhw,9.08
2oc1,5.37
4zlo,4.92
4f9g,5.62
6jsz,5.68
3mj2,7.82
4pp9,7.37
1gjd,5.22
4is6,6.2
4gsc,5.85
5le1,4.97
3atv,5.34
5khi,6.77
1p04,7.4
4kil,6.3
2pl9,4.17
4n7h,5.48
6rj6,8.52
5kxi,7.74
5kqd,6.3
2mji,4.25
3qtr,6.03
4c6x,3.76
223l,3.4
3axm,5.07
2va5,4.07
5eak,9.3
5o55,4.7
3g0c,5.7
5nn4,1.94
5fao,7.96
4z3v,8.4
3nf8,3.0
5e1e,7.66
3wp0,4.99
4pio,5.7
1tsl,6.15
1sc8,7.44
4d1c,5.7
3ixk,8.18
2yit,9.54
3upf,6.7
3vp3,4.95
3ggv,10.85
6hor,4.18
3tgs,5.39
5w84,6.44
6max,4.87
6c5q,6.66
5izm,5.92
5orb,4.29
3fkt,5.55
3s74,8.4
4uct,3.12
4b5b,6.41
2lgf,5.57
4ktu,6.16
5t23,5.8
1hiy,3.08
4ayy,8.17
4um9,8.07
4qwu,5.51
2z4z,5.73
4dvi,6.72
2pzi,6.1
5ksv,5.22
5q0y,5.73
3k5u,6.51
1zhl,5.0
3iu9,6.62
1eol,13.42
5tzo,5.23
2qu2,5.43
6gu7,5.81
3hdm,7.4
3f2a,7.24
4jql,6.0
1gj8,6.96
6htz,6.74
3ppk,8.85
2q6c,7.78
4pd5,2.86
1pwy,4.05
4y73,9.52
6k5t,4.24
4umt,6.14
1bji,8.7
5kv8,4.84
4oas,10.0
4cu1,4.71
4i12,6.39
3twv,4.76
6d1m,8.2
5elf,2.34
2ow3,8.52
5zwh,8.72
5trk,5.21
4ewo,7.36
5iz8,5.62
3wqh,8.48
2l1b,3.96
4wnm,7.59
5qae,3.62
1kl5,5.99
4e1z,8.52
5wf3,5.85
1k3t,4.19
6hq4,4.65
3sie,7.88
4j81,4.5
6e0r,7.7
6d5w,4.2
3syr,5.1
4uru,2.22
4cpq,7.74
2qt5,5.03
5ayf,4.82
3ti6,9.27
2p8o,4.85
3er5,9.0
6g9b,3.24
2ms4,4.82
5bpa,9.0
2lsv,5.27
4usj,4.0
2x4o,4.77
2cfg,7.44
3jzp,6.6
2vl8,4.52
3qvv,4.42
3zvy,5.1
5fcw,6.52
1guw,5.72
3vf3,5.86
5i2i,4.3
2r3c,5.66
5t36,7.37
6n97,5.15
5eou,5.36
4wks,2.7
4cd8,2.89
1il5,2.66
4fe9,3.0
6mbo,5.95
5hzn,7.21
2gnf,5.22
6n3l,7.57
6g9a,7.68
3piz,5.46
4z68,6.49
6g0w,5.28
6haj,4.97
6hx1,6.52
3hxi,6.33
1anf,5.46
2hzi,7.15
2m41,5.1
3m1s,9.0
2o7v,5.96
6f4n,5.22
3vyf,8.8
1zz3,6.54
5bms,6.34
5zyi,7.07
4d1s,7.66
4gs6,7.15
6msn,4.95
4a9s,7.21
5ai8,3.9
5hlm,5.9
2r0y,3.0
4w9e,5.15
5ety,7.51
6h8c,5.85
2pmk,5.92
4es0,6.99
5qck,7.64
4i06,7.17
4ocp,6.1
3fdt,4.52
5ygf,6.21
3vi5,5.68
3ft8,7.52
4u7o,3.35
4ryc,7.1
4y24,6.66
6bqg,8.93
6qad,7.85
2w3l,7.52
5tzx,7.28
5eyc,8.52
5mxk,3.39
6nfi,7.05
1eb1,10.43
5xpn,6.99
2jdy,4.37
4r3s,8.22
5iua,8.82
4m5j,4.84
2f6z,5.32
1urc,4.72
4yti,7.89
5j79,8.52
4yuz,5.04
4n00,8.02
3.00E+64,7.11
5fb1,5.92
5u48,6.33
5c1y,5.9
3e7o,6.92
5td7,5.77
3qc9,6.06
3hyg,7.03
6gxu,3.74
4rvt,5.72
5w6r,7.57
3uig,5.32
4w9n,4.26
4puk,7.28
4msk,7.2
1d04,4.59
3udk,4.49
5ct1,1.52
3m55,6.21
4el0,4.49
6hs0,5.5
1xbb,5.3
6dzv,6.4
2cem,7.92
2y1g,6.15
4d2r,5.48
1a3e,8.46
6aam,8.32
3m3r,6.32
4igk,4.55
5yg4,7.37
4cy1,6.74
2vaq,8.52
6mo9,5.81
1fwu,3.7
5hyq,6.82
3ekn,8.4
2igw,1.31
5uiq,4.26
6n3f,6.1
6etg,4.66
4jbo,7.62
4p4d,5.74
3fu5,4.12
2q72,2.68
1j81,7.1
3d94,6.8
4umq,5.38
3pm1,5.93
4fhi,7.0
6hdq,7.0
5c26,6.77
1pw6,5.22
5eyk,8.52
2aw1,7.37
4phv,9.17
4no8,7.15
2l12,4.26
1onp,7.52
1qx1,2.12
3lpf,6.68
1f92,6.19
5ar5,6.3
1mv0,4.03
6f3e,7.15
4mx0,6.73
6jwa,4.96
5xvw,5.48
2g5t,9.09
2jmj,5.04
4pn1,6.17
1ke3,6.7
4hlw,5.38
4mwx,7.12
3vvz,4.58
5nwd,8.0
1q66,5.77
6hck,4.6
2ovq,7.15
2wcx,7.6
5k6a,4.51
3f9w,4.72
3ddp,7.14
3sn8,5.65
5h8x,5.51
4g68,7.92
2j2i,6.7
4obp,7.77
5gvn,7.05
2v10,9.4
1hp0,6.7
1o2g,6.12
4c4j,8.52
6hrp,9.0
6dlj,5.55
2vtl,4.01
2ohl,3.05
3nrm,8.4
6duk,9.59
5agt,7.12
1lvk,5.92
5q1g,3.58
4qwl,6.18
3zmh,5.28
6czi,6.25
1cwc,7.8
4yv1,3.08
6qtq,3.72
1t79,6.04
5z1e,8.3
5dia,10.46
3skh,6.05
2fuu,5.57
5xag,5.46
3kf4,9.3
4awp,7.09
6hti,7.01
3arn,5.41
5mng,4.68
4nyj,3.49
6s89,8.07
5u51,4.92
6fii,8.02
5abw,7.77
4nhc,7.34
3hhm,7.92
6n19,3.02
1d8m,8.51
6cjy,7.64
5xmp,7.37
1pmx,5.14
4ded,7.42
5t66,8.43
1aqj,6.47
4p0w,5.96
3pz3,6.85
3ch9,3.3
6iam,6.85
5bnj,8.7
4d09,8.77
2cgu,4.87
3u4o,7.28
6hky,9.34
2ff1,8.21
5xgh,5.99
2itt,8.77
4gq6,7.28
1il9,3.4
2osf,3.83
5tpc,3.0
4ui3,6.88
5wzs,6.55
3haw,6.0
5v86,7.1
3m9f,11.15
2xm9,8.05
4fi9,7.34
5ake,7.82
6eo9,6.8
6h3k,7.96
4ln7,7.39
5lt6,5.41
1jd6,7.39
6die,3.13
3kqs,5.2
4g19,3.58
2w78,8.57
3rq7,7.77
6dcy,5.46
4jpa,8.48
6cee,4.19
3kr5,7.89
6f8j,7.07
4bdk,5.44
1ftj,6.09
3h9f,7.92
3wi2,7.04
1lcj,9.0
5avi,6.06
1hww,7.7
1gja,5.42
5tkd,8.15
3kjf,4.87
2bkt,7.64
5vb9,5.89
2x9e,6.74
3nij,4.89
3pj2,5.14
6npe,6.3
3l6x,4.4
6pyb,5.38
1bky,3.84
2wbb,6.04
5lb7,5.05
3wyk,7.64
1cs4,5.57
4jhq,7.74
1o2y,5.85
5q0u,6.76
4zsj,5.64
6ewk,3.77
1bm6,7.89
4w53,3.99
4m5n,5.12
3vap,8.4
4odk,3.8
5d9p,3.2
3emg,8.05
6apw,6.17
4hvg,7.77
1n5z,4.36
4nk9,8.51
4bfr,7.64
5fkj,10.66
2fts,7.05
2xp6,4.7
5ak4,4.23
6d4a,3.93
3sh1,7.39
4hnc,3.17
3zlq,6.04
4ztr,8.3
1uwh,7.66
4btl,5.6
4dgr,5.04
3mo0,6.81
5y5u,7.75
4hni,7.49
5anq,5.4
5cyv,4.96
4mm7,3.63
3qtx,7.15
6kdx,6.53
4meq,3.6
2jko,8.11
6nt2,8.82
1vjb,7.89
5mkj,4.31
1we2,4.36
2zx5,12.33
3l7d,2.18
5lp6,4.76
6bfa,9.0
4x7h,7.38
1idb,7.96
6mjq,7.88
5dp5,4.73
6dne,7.48
4yrc,2.7
4mw5,7.35
1db4,7.24
3atk,2.85
3nok,4.19
3dm6,7.43
1wc6,4.0
5moe,3.28
2g01,5.91
5yy6,7.62
4tpm,8.62
5m6h,6.82
1x78,7.85
2o63,6.11
4flj,5.13
4qp9,7.15
4ryl,7.28
3upz,5.6
3rhx,6.08
2jb5,9.22
2llq,5.82
2g1y,7.05
5t1s,7.08
3d4f,7.72
4xub,5.97
3avb,4.07
4bds,7.6
3cr5,4.19
4aif,4.84
4f3h,6.38
3fz1,7.92
1mxo,9.0
3rzb,4.0
1l6y,3.66
3pdc,7.49
3kry,10.0
6mzq,8.41
6jki,6.39
1y8p,6.08
5wdl,6.17
1lhe,9.54
1bkm,5.74
3g1m,6.3
6guf,6.65
4bkj,8.72
2ai7,6.4
3t2t,2.4
2pja,8.66
1slg,3.9
6fjf,8.17
1a37,6.92
4xcb,5.47
4mp2,5.45
6gmd,3.69
3f69,6.0
5ddb,7.09
6dq5,5.19
4x3u,5.09
3o57,10.1
4h4b,2.7
1pi4,7.43
6p5w,5.29
4qh8,4.89
4bgy,2.96
4zqt,5.64
1cyn,7.68
6d6t,8.21
3gus,6.05
5w5o,8.1
3f0r,6.89
4bcc,8.05
6ge0,8.68
4ocx,11.44
4his,8.09
2io6,7.52
5oua,5.57
5eml,7.64
3lj7,8.34
4tk2,3.72
5auz,4.01
6q6y,6.0
4ode,10.0
3aje,5.03
5h14,5.06
1rhm,5.76
1.00E+03,9.4
5tiu,8.3
4b12,4.99
1p28,5.42
3k23,8.2
4bg1,6.31
4lgu,8.68
4mw6,5.78
4b95,4.28
6apv,6.96
2zis,8.55
1kyn,5.39
6czd,3.85
5eel,6.08
5lsc,4.7
6q39,7.85
5zhn,8.8
2n14,5.33
5xmr,7.61
3hiw,8.06
6hm6,5.5
1mxu,5.4
3.00E+01,7.52
2oj9,6.41
4nrm,3.2
5g42,2.3
5jek,3.98
3s53,9.64
3vtc,7.89
6f3d,8.4
5wag,5.21
3rw9,5.96
4whq,4.12
5ale,5.95
6fgl,4.62
6i5n,5.85
6p10,5.22
3tdh,4.26
3lf0,5.71
5em7,7.72
2vv9,7.77
4k1b,11.52
3e8u,9.42
4ozl,4.97
5wf5,7.65
6da4,6.34
2f18,4.1
6f4x,4.97
5l4e,4.61
5eyd,9.0
5ajp,5.3
4lwi,7.64
2uxx,3.3
4lxb,8.15
2ph9,5.89
4m4q,7.96
5nmf,7.42
5ech,3.8
4p0x,5.92
3nfl,4.38
4od9,7.24
9abp,8.0
5mqx,5.41
3prf,8.85
5aia,5.2
2y5l,6.48
3heg,6.74
4ncm,7.0
3c3o,4.36
5op8,4.18
4fs3,7.85
6dqa,6.44
3ujb,5.1
5nvh,7.82
2oah,7.96
3usn,6.15
2nv7,8.3
6sd9,9.1
2gej,6.64
2xx5,6.7
4g2j,7.96
6n0p,8.89
6e8x,6.22
7cpa,13.96
1hge,2.27
2vwf,5.06
3fup,7.66
1avd,15.0
1u8t,4.26
1o0o,5.1
4fcr,9.4
3i3d,1.99
4a7j,7.0
3gv6,3.3
5eoc,7.52
4ie6,5.55
2ql5,8.1
2y6o,7.6
6hy7,5.57
6bl1,6.96
2q7m,8.8
1pcg,7.6
5up3,7.9
5aqj,2.68
3ued,4.53
5lyw,6.15
2ly0,4.8
1vyz,6.54
3wns,5.96
5om9,4.25
5nhl,9.52
3dtc,7.59
6fmk,4.67
1bqm,7.35
4x3e,5.47
1qw7,3.6
4yxo,7.04
6b1j,7.37
6cz4,7.12
3u4h,4.25
3ewz,4.1
6dq8,6.59
5tjx,6.82
6eil,5.55
5izc,3.95
5qaz,3.4
3v3l,6.43
1at6,4.07
5gwy,4.95
4dve,9.52
5diq,5.17
1v0n,7.55
1o45,9.6
3dcq,5.23
5nib,7.72
4edz,8.08
7hvp,9.62
1err,8.11
6fzf,6.82
3d9p,4.54
4n7e,6.48
5oyd,2.75
4p4j,6.15
2g79,6.92
2lcs,6.7
1qwu,3.22
3lk0,3.16
5ai4,3.47
3nnu,7.32
3zs0,6.7
5ads,5.67
5b56,4.54
4usw,2.69
5fbe,4.85
5km0,5.31
4yhq,8.77
1utt,4.0
4p4i,7.46
2qhc,8.96
4q9m,7.18
5a4c,8.24
1h79,4.89
5wqk,6.3
5kdr,8.3
4l7b,5.64
4pkw,4.65
